순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,53913,페디,NC,2.00,30,20,6,0,0,0.769,180 1/3,137,9,35,4,209,46,40,0.95
2,68341,안우진,키움,2.39,24,9,7,0,0,0.563,150 2/3,121,5,38,1,164,44,40,1.06
3,50404,뷰캐넌,삼성,2.54,30,12,8,0,0,0.600,188,174,4,43,6,139,71,53,1.15
4,53375,후라도,키움,2.65,30,11,8,0,0,0.579,183 2/3,164,7,41,9,147,64,54,1.12
5,69045,알칸타라,두산,2.67,31,13,9,0,0,0.591,192,171,16,35,5,162,67,57,1.07
6,64001,고영표,KT,2.78,28,12,7,0,0,0.632,174 2/3,181,7,19,9,114,57,54,1.15
7,69446,원태인,삼성,3.24,26,7,7,0,0,0.500,150,157,15,34,6,102,61,54,1.27
8,52528,반즈,롯데,3.28,30,11,10,0,0,0.524,170 1/3,171,6,56,15,147,68,62,1.33
9,61101,임찬규,LG,3.42,30,14,3,0,1,0.824,144 2/3,142,10,54,5,103,63,55,1.35
10,64021,박세웅,롯데,3.45,27,9,7,0,0,0.563,154,145,8,59,4,129,70,59,1.32
11,77829,김광현,SSG,3.53,30,9,8,0,0,0.529,168 1/3,163,11,70,2,119,75,66,1.38
12,52043,벤자민,KT,3.54,29,15,6,0,0,0.714,160,149,12,45,3,157,79,63,1.21
13,77637,양현종,KIA,3.58,29,9,11,0,0,0.450,171,181,13,48,1,133,78,68,1.34
14,52720,페냐,한화,3.60,32,11,11,0,0,0.500,177 1/3,149,14,59,18,147,82,71,1.17
15,69103,켈리,LG,3.83,30,10,7,0,0,0.588,178 2/3,183,10,39,6,129,87,76,1.24
16,65320,최원태,LG,4.30,26,9,7,0,0,0.563,146 2/3,149,12,46,7,118,73,70,1.33
17,50859,오원석,SSG,5.23,28,8,10,0,0,0.444,144 2/3,158,11,69,9,88,92,84,1.57
1,51111,송승기,LG,0.00,1,0,0,0,0,-,1,1,0,1,0,0,0,0,2.00
2,65109,백승현,LG,1.58,42,2,0,3,11,1.000,40,28,2,18,0,30,7,7,1.15
3,63248,함덕주,LG,1.62,57,4,0,4,16,1.000,55 2/3,32,1,22,2,59,12,10,0.97
4,75867,김진성,LG,2.18,80,5,1,4,21,0.833,70 1/3,41,8,26,0,69,17,17,0.95
5,65117,이상규,LG,2.35,8,0,0,0,0,-,7 2/3,7,0,5,0,6,2,2,1.57
6,52145,플럿코,LG,2.41,21,11,3,0,0,0.786,123 1/3,115,5,31,3,101,37,33,1.18
7,73801,송은범,LG,2.45,4,0,0,0,0,-,3 2/3,6,0,3,0,2,1,1,2.45
