season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2019,키움,0.282,780,1405,112,741,2068,5658,4991,0.354,0.414,0.768,514,943,3.61,1.3,572,513,61,371,984,1279.0,99,0.982,128,6,92,46,33.3,143,110,33,76.9,37,6,208,0.6502890173410405,2.652291105121294,0.132,0.09084482149169318,0.3056,88,424,0.875,0.887,1.0137142857142858,0.38839999999999997,0.48660000000000003,3.8299999999999996,1.3319999999999999,708.0,538,2.87,0.9599999999999995
2019,NC,0.278,674,1383,128,639,2068,5631,4968,0.345,0.416,0.761,456,880,4.01,1.38,631,572,103,483,991,1284.3333333333333,95,0.982,130,4,64,49,43.4,132,87,45,65.9,53,7,43,0.5329144558483501,2.05175983436853,0.13799999999999996,0.08098028769312733,0.3028,48,264,0.8291999999999999,0.8536666666666667,1.0295063515034573,0.3902,0.43899999999999995,3.4160000000000004,1.2899999999999998,637.0,478,2.75,0.6660000000000004
2019,두산,0.278,736,1364,84,691,1913,5670,4913,0.355,0.389,0.744,563,799,3.51,1.28,550,500,78,380,860,1283.6666666666667,83,0.985,131,6,96,32,25.0,140,102,38,72.9,59,7,186,0.6416708915938952,2.263157894736842,0.11099999999999999,0.09929453262786596,0.3054,65,405,0.8270000000000002,0.803,0.9709794437726722,0.3774,0.44960000000000006,3.414,1.238,790.0000000000001,556,2.5,0.9140000000000001
2019,KT,0.277,650,1375,103,615,1911,5582,4965,0.344,0.385,0.729,475,975,4.29,1.4,661,608,118,481,848,1277.0,102,0.981,137,15,90,43,32.3,148,104,44,70.3,58,8,-11,0.49161004909119044,1.762993762993763,0.10799999999999998,0.08509494804729488,0.3078,71,354,0.8240000000000001,0.795,0.9648058252427184,0.3756,0.4484,4.086,1.386,724.9999999999999,476,2.99,1.096
2019,LG,0.267,641,1316,94,604,1861,5536,4928,0.333,0.378,0.711,434,962,3.86,1.37,633,551,89,499,953,1283.3333333333333,95,0.983,139,7,115,41,26.3,155,108,47,69.7,38,6,8,0.5062791872543342,1.9098196392785571,0.11099999999999999,0.07839595375722544,0.29300000000000004,47,318,0.7736000000000001,0.7586666666666667,0.9806963116166839,0.3606,0.413,3.882,1.3559999999999999,713.3333333333334,517,1.52,2.362
2019,KIA,0.264,605,1286,76,567,1800,5505,4874,0.336,0.369,0.705,497,919,4.65,1.48,723,653,101,504,976,1264.0,110,0.979,126,9,116,50,30.1,129,87,42,67.4,61,7,-118,0.4118406218143603,1.9365079365079365,0.10499999999999998,0.09028156221616712,0.2874,33,272,0.7567999999999999,0.7536666666666667,0.9958597603946443,0.36319999999999997,0.3936,5.044,1.51,664.0,522,2.29,2.7539999999999996
2019,SK,0.262,655,1290,117,622,1887,5542,4919,0.334,0.384,0.718,462,966,3.48,1.3,546,500,99,436,1092,1292.3333333333333,87,0.984,131,3,105,31,22.8,168,118,50,70.2,51,12,109,0.5900162416917765,2.5045871559633026,0.122,0.0833634067123782,0.2848,85,377,0.8104000000000001,0.8546666666666667,1.054623231326094,0.36360000000000003,0.4468,3.342,1.236,737.6666666666667,623,2.38,0.9620000000000002
2019,한화,0.256,607,1250,88,562,1769,5482,4882,0.324,0.362,0.686,441,1090,4.8,1.52,737,677,120,526,934,1268.6666666666667,106,0.98,151,10,104,49,32.0,156,105,51,67.3,51,6,-130,0.4041703871577788,1.7756653992395437,0.10599999999999998,0.08044509303174024,0.2742,60,328,0.746,0.7560000000000001,1.0134048257372656,0.336,0.41000000000000003,4.973999999999999,1.4780000000000002,660.0,503,3.5,1.4739999999999993
2019,삼성,0.256,622,1245,122,598,1893,5533,4866,0.329,0.389,0.718,478,976,4.64,1.45,731,658,125,523,924,1275.3333333333333,105,0.98,132,9,90,38,29.7,149,107,42,71.8,45,7,-109,0.419957774533376,1.7667304015296368,0.133,0.08639074643050786,0.2732,52,300,0.7577999999999999,0.7566666666666667,0.9985044426849654,0.352,0.4058,4.7379999999999995,1.49,633.3333333333334,404,3.62,1.1179999999999994
2019,롯데,0.25,578,1231,90,545,1759,5488,4919,0.316,0.358,0.674,429,1085,4.83,1.54,764,682,120,546,1033,1271.0,114,0.979,131,11,91,44,32.6,96,65,31,67.7,49,8,-186,0.3640131621957332,1.8919413919413919,0.10799999999999998,0.07817055393586006,0.2882,58,303,0.7647999999999999,0.7966666666666667,1.041666666666667,0.3534,0.4114,4.853999999999999,1.544,655.0,519,3.41,1.443999999999999
