순위,선수ID,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,53827,에레디아,SSG,0.360,136,591,541,82,195,31,1,21,291,118,0,9,28,3,13,73,12,0.538,0.399,0.937,59,0.428,0.000
2,54529,레이예스,롯데,0.352,144,632,574,88,202,40,3,15,293,111,0,11,46,2,1,82,16,0.510,0.394,0.904,61,0.395,0.000
3,52605,김도영,KIA,0.347,141,625,544,143,189,29,10,38,352,109,1,7,66,7,7,110,10,0.647,0.420,1.067,58,0.317,0.500
4,62404,구자욱,삼성,0.343,129,568,493,92,169,39,1,33,309,115,2,6,55,4,12,73,6,0.627,0.417,1.044,52,0.341,0.000
5,65357,송성문,키움,0.340,142,602,527,88,179,29,4,19,273,104,0,8,64,2,3,82,5,0.518,0.409,0.927,47,0.372,0.333
6,66108,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4,96,3,12,93,8,0.410,0.447,0.857,51,0.389,1.000
7,67025,로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4,88,9,6,115,10,0.568,0.421,0.989,54,0.313,0.000
8,78603,김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0,30,0,5,39,13,0.447,0.380,0.827,42,0.350,0.500
9,62907,박민우,NC,0.328,121,528,457,75,150,26,2,8,204,50,4,4,54,4,9,79,5,0.446,0.406,0.852,43,0.314,0.000
10,67304,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7,47,2,4,62,6,0.458,0.383,0.841,49,0.377,0.000
11,53123,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13,61,6,3,82,9,0.573,0.384,0.957,49,0.329,0.000
12,50458,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1,60,2,9,40,5,0.384,0.405,0.789,38,0.240,0.333
13,76232,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6,40,5,9,56,13,0.479,0.379,0.858,37,0.393,0.500
14,51551,나승엽,롯데,0.312,121,489,407,59,127,35,4,7,191,66,2,7,69,1,4,83,4,0.469,0.411,0.880,33,0.354,0.400
15,52630,소크라테스,KIA,0.310,140,602,552,92,171,30,3,26,285,97,0,5,41,4,4,91,7,0.516,0.359,0.875,49,0.336,0.000
16,79240,허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6,36,0,18,25,8,0.427,0.384,0.811,38,0.296,0.500
17,69517,고승민,롯데,0.308,120,532,481,79,148,27,6,14,229,87,1,8,41,0,1,78,10,0.476,0.358,0.834,42,0.307,0.667
18,64646,박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6,48,1,1,44,9,0.386,0.363,0.749,49,0.359,0.500
19,54944,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7,39,5,17,142,12,0.633,0.370,1.003,45,0.255,0.000
20,74540,강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6,35,2,8,52,17,0.496,0.365,0.861,31,0.274,0.182
21,67893,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67,3,6,64,3,2,86,11,0.411,0.380,0.791,42,0.302,0.167
