순위,선수ID,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,76290,김현수,LG,0.362,117,511,453,95,164,39,2,20,267,101,0,10,47,6,1,61,9,0.589,0.415,1.004,48,0.419,0.000
2,76232,양의지,두산,0.358,133,503,439,84,157,29,1,23,257,77,0,6,45,6,13,40,13,0.585,0.427,1.012,48,0.317,0.333
3,67341,이정후,넥센,0.355,109,520,459,81,163,34,2,6,219,57,3,8,42,3,8,58,5,0.477,0.412,0.889,46,0.370,0.000
4,75125,박병호,넥센,0.345,113,488,400,88,138,20,0,43,287,112,0,3,68,10,17,114,9,0.718,0.457,1.175,46,0.312,0.333
5,79608,안치홍,KIA,0.342,130,549,494,88,169,38,1,23,278,118,0,9,36,1,10,57,13,0.563,0.392,0.955,53,0.403,0.333
6,78513,전준우,롯데,0.342,144,614,556,118,190,36,2,33,329,90,1,2,48,1,7,82,12,0.592,0.400,0.992,59,0.379,0.300
7,70410,김주찬,KIA,0.340,121,471,429,71,146,23,0,18,223,93,2,10,23,5,7,57,15,0.520,0.375,0.895,42,0.361,0.333
8,72443,최형우,KIA,0.339,143,609,528,92,179,34,1,25,290,103,0,8,66,7,7,87,17,0.549,0.414,0.963,47,0.342,1.000
9,74339,유한준,KT,0.339,121,480,428,59,145,21,1,20,228,83,2,1,47,3,2,53,9,0.533,0.406,0.939,46,0.385,0.100
10,78224,김재환,두산,0.334,139,602,527,104,176,36,1,44,346,133,0,7,59,4,9,134,6,0.657,0.405,1.062,51,0.295,1.000
11,76267,최주환,두산,0.333,138,590,519,87,173,39,6,26,302,108,0,10,51,1,10,89,5,0.582,0.397,0.979,50,0.368,0.250
11,71564,이대호,롯데,0.333,144,604,543,81,181,30,0,37,322,125,0,4,43,7,14,75,18,0.593,0.394,0.987,55,0.307,0.444
13,62404,구자욱,삼성,0.333,116,529,478,100,159,26,5,20,255,84,1,2,43,2,5,110,4,0.533,0.392,0.925,50,0.378,0.000
